Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
14,3,-1025.97,-189.968,9819.83,-1.60099,3.30127,1.39056,3.13E-05,1.36E-06,-3.46E-06,-4.86969,5.57261,68.1623,1296.69,526.791,18580.4
14,4,-1144.97,-174.373,9780.78,-1.40028,3.99923,1.26318,3.16E-05,1.58E-06,-3.68E-06,-4.87849,5.58542,68.1858,0,-353.952,18599.6
15,0,-1231.49,-164.981,9877.18,-1.17045,4.71523,1.39239,3.14E-05,1.78E-06,-3.88E-06,-4.88906,5.6025,68.2136,0,174.584,18003.6
15,1,-1300.65,-117.387,9960.23,-0.524009,4.83436,1.40686,3.07E-05,1.96E-06,-4.06E-06,-4.89744,5.62336,68.2449,98.0003,878.53,17877.2
15,2,-1443.6,-79.0723,10001.4,-0.721007,3.96209,1.54374,3.01E-05,2.14E-06,-4.24E-06,-4.90558,5.643,68.2775,108.738,321.79,18158.7
15,3,-1573.67,-71.3059,10022.9,-1.10314,2.68205,1.39372,2.98E-05,2.09E-06,-4.13E-06,-4.91335,5.65928,68.3091,-89.3345,48.9151,18415.1
15,4,-1693.87,-122.977,10009,-1.38271,1.63179,1.0901,2.96E-05,1.88E-06,-3.79E-06,-4.92157,5.67125,68.338,256.645,326.328,18962.9
16,0,-1781.26,-148.034,10028,-1.73139,0.569055,0.658953,2.96E-05,1.61E-06,-3.38E-06,-4.92988,5.68091,68.365,750.313,418.398,20162.1
16,1,-1798.08,-102.869,10026.1,-2.22845,-0.740945,-0.0436922,2.98E-05,1.44E-06,-3.16E-06,-4.93654,5.68706,68.3884,565.123,-20.062,21204.1
16,2,-1748.56,-57.0235,9960.45,-2.8273,-2.31794,-0.910736,3.03E-05,1.45E-06,-3.24E-06,-4.94038,5.68549,68.406,163.879,-127.617,20603.7
16,3,-1684.57,-65.2464,9908.46,-3.38628,-4.00796,-1.48058,3.09E-05,1.54E-06,-3.46E-06,-4.94148,5.67484,68.4197,87.6078,390.479,18853.2
16,4,-1633.82,-31.368,9831.08,-3.48193,-5.17264,-1.69628,3.15E-05,1.62E-06,-3.67E-06,-4.9392,5.65958,68.4327,-1745.65,-871.321,19542
17,0,-1582.04,-104.547,9768.47,-3.67946,-6.01647,-2.85934,3.13E-05,1.65E-06,-3.68E-06,-4.93679,5.639,68.4453,140.833,-478.373,18712.4
17,1,-1514.38,-210.03,9802.74,-3.6451,-6.34966,-4.53072,3.06E-05,1.65E-06,-3.59E-06,-4.93495,5.61398,68.4538,415.785,-47.8373,20442
17,2,-1392.92,-399.681,9787.39,-4.11408,-5.58758,-6.95161,2.99E-05,1.65E-06,-3.50E-06,-4.93948,5.58585,68.4528,-874.613,-642.586,18929.3
17,3,-1272.66,-615.479,9756.92,-3.38403,-3.54297,-10.0529,2.97E-05,1.56E-06,-3.37E-06,-4.949,5.5622,68.4388,178.382,-240.97,18555.7
17,4,-1124.46,-674.286,9722.77,-2.09403,-0.867678,-13.7645,2.98E-05,1.40E-06,-3.20E-06,-4.95975,5.54738,68.4071,-44.7374,441.665,17654
18,0,-1044.3,-634.642,9751.39,-0.543977,1.846,-16.475,3.00E-05,1.21E-06,-3.01E-06,-4.97003,5.54439,68.3622,310.365,1263.06,17871.3
18,1,-1052.45,-555.396,9862.11,0.937851,4.96015,-17.8649,3.01E-05,1.16E-06,-3.12E-06,-4.98134,5.55649,68.3102,369.805,896.08,18547.9
18,2,-1084.75,-481.486,10047.3,3.43023,8.36517,-19.0288,3.00E-05,1.30E-06,-3.68E-06,-4.99037,5.58717,68.2518,-622.735,-109.758,18489.2
18,3,-1166.27,-349.041,10356.7,7.49302,10.3281,-19.754,2.99E-05,1.52E-06,-4.45E-06,-4.98951,5.63433,68.1885,-136.333,688.317,19189.8
18,4,-1445.1,196.543,10837.9,8.0672,9.34932,-17.4845,2.98E-05,1.74E-06,-5.13E-06,-4.98198,5.68354,68.1336,-685.486,701.796,20078.1
19,0,-1751.02,329.888,11188.3,7.10841,7.12573,-14.8832,2.99E-05,1.87E-06,-5.12E-06,-4.971,5.72529,68.0893,-719.894,236.853,17695.1
19,1,-1852.16,52.8653,11001.4,8.14832,6.91755,-13.449,3.02E-05,1.96E-06,-4.76E-06,-4.95532,5.76918,68.0538,-1337.59,23.6853,20669.7
19,2,-1753.49,-111.227,10834,8.96829,7.36144,-13.6697,3.04E-05,2.05E-06,-4.40E-06,-4.93828,5.81663,68.0178,-374.529,910.104,21342.2
19,3,-1650.54,20.5373,10724.9,9.56335,8.83317,-13.5032,3.06E-05,2.09E-06,-4.48E-06,-4.92134,5.87548,67.983,-850.275,341.289,20346.9
19,4,-1616.93,143.97,10699.1,10.5312,11.0585,-12.5764,3.06E-05,2.10E-06,-4.85E-06,-4.90652,5.94392,67.9533,-85.7785,-290.917,20299.4
20,0,-1666.79,262.528,10720.3,11.2947,13.5625,-11.5133,3.06E-05,2.10E-06,-5.30E-06,-4.89597,6.02042,67.9287,-108.795,-242.431,20147.7
20,1,-1719.92,412.632,10701.7,11.2399,15.9584,-10.22,3.06E-05,1.97E-06,-5.44E-06,-4.88927,6.10826,67.91,-408.858,44.7752,20037
20,2,-1783.46,504.696,10609.5,11.3059,18.3331,-8.30491,3.04E-05,1.65E-06,-5.10E-06,-4.88485,6.21268,67.8989,178.148,602.975,20610.6
20,3,-1923.12,517.009,10537.7,12.3791,20.8293,-6.18558,3.03E-05,1.24E-06,-4.55E-06,-4.88412,6.33054,67.8955,-163.852,1398.98,20331.6
20,4,-1938.1,648.651,10606.1,11.9103,22.6235,-4.4115,3.02E-05,8.81E-07,-4.07E-06,-4.89146,6.44469,67.8987,-833.007,38.408,18434.6
21,0,-2078.27,723.738,10639.1,11.498,23.8593,-1.32343,3.02E-05,8.93E-07,-4.04E-06,-4.90321,6.55836,67.9136,-956.746,384.08,19517.3
21,1,-2057.44,786.187,10638.5,11.2534,24.7007,1.33422,3.02E-05,1.07E-06,-4.22E-06,-4.91761,6.67533,67.9399,-933.752,130.387,19580.7
21,2,-2043.08,833.001,10653.4,9.79311,24.7272,3.23617,3.03E-05,1.25E-06,-4.40E-06,-4.93668,6.78888,67.9675,-186.239,1551.23,21145.3
21,3,-2061.18,830.125,10804.9,8.17774,22.8035,4.52128,3.05E-05,1.64E-06,-4.61E-06,-4.95584,6.89157,67.9964,0,921.26,20003.8
21,4,-2160.56,864.183,10969.3,6.07253,19.6868,5.36455,3.10E-05,2.15E-06,-4.83E-06,-4.97475,6.97831,68.0278,-1017.48,198.407,20321
22,0,-2265.11,885.756,10956,3.41753,15.9728,6.38926,3.14E-05,2.69E-06,-5.06E-06,-4.99408,7.04593,68.0656,-1743.81,-223.977,20067.6
22,1,-2314.6,858.419,10861.6,2.45129,12.3021,10.1314,3.18E-05,2.83E-06,-5.14E-06,-5.00669,7.10004,68.1218,-1711.84,-300.123,19316.4
22,2,-2403.71,1087.25,10744,3.82689,10.3181,18.3991,3.22E-05,2.37E-06,-4.99E-06,-5.00859,7.15289,68.2119,-1744.51,837.419,19339.5
22,3,-2565.64,1540.07,10539.6,4.32688,10.8757,26.1538,3.25E-05,1.70E-06,-4.77E-06,-5.00893,7.21012,68.333,-1739.72,2320.22,18977.9
22,4,-2434.47,875.575,10672.4,2.16132,10.2061,21.5302,3.27E-05,1.12E-06,-4.60E-06,-5.01671,7.25841,68.445,-251.646,-236.923,19585.3
23,0,-2256.68,655.405,11063,-0.97584,5.15822,13.8115,3.26E-05,1.38E-06,-4.94E-06,-5.02549,7.27996,68.533,147.227,294.454,20974.8
23,1,-2297.97,603.934,11253.6,-3.8844,-1.1369,8.03,3.23E-05,1.97E-06,-5.49E-06,-5.03032,7.26773,68.5982,-48.6037,-736.637,20275
23,2,-2371.87,785.359,11136.2,-3.9326,-4.81575,7.22157,3.20E-05,2.56E-06,-6.03E-06,-5.02565,7.24474,68.6557,-1964.72,1093.04,20841
23,3,-2465.61,1097.7,10852,-3.08122,-6.69785,8.29427,3.18E-05,2.80E-06,-6.25E-06,-5.01317,7.21843,68.7135,-2228.86,1358.43,21034.5
23,4,-2440.59,1290.58,10754.8,-2.35127,-7.84608,10.0206,3.18E-05,2.85E-06,-6.30E-06,-4.99513,7.19037,68.7765,-632.013,1730.41,20627.9
