Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
23,4,1794.16,6147.61,2631.76,-282.809,-191.128,116.151,-2.16E-05,-3.89E-06,1.89E-05,-31.929,10.6731,-56.925,2270.94,12864.1,12908.7
24,0,1629.31,5855.66,2293.35,-280.546,-187.905,122.634,-2.15E-05,-4.69E-06,1.85E-05,-33.2504,10.6948,-56.1599,1664.55,12191.9,11877.9
24,1,1400.32,5523.69,1953.84,-277.966,-185.474,129.181,-2.14E-05,-5.42E-06,1.83E-05,-34.5508,10.7239,-55.3613,923.869,10961.5,11354.3
24,2,1140.79,5191.42,1636.13,-274.572,-183.616,135.8,-2.14E-05,-6.16E-06,1.81E-05,-35.8278,10.7568,-54.5286,536.127,10563.6,11191.6
24,3,841.007,4842.93,1506.18,-269.631,-182.908,142.105,-2.14E-05,-6.93E-06,1.80E-05,-37.0778,10.7886,-53.6683,85.5348,11558.7,11838.8
24,4,585.996,4421.89,1457.35,-263.452,-183.869,147.948,-2.14E-05,-7.74E-06,1.80E-05,-38.2996,10.8103,-52.7789,412.211,12422,12486.6
25,0,349.553,4253.7,1332.77,-257.24,-185.786,154.015,-2.15E-05,-8.56E-06,1.80E-05,-39.4946,10.8181,-51.8544,273.043,11823.9,11002.6
25,1,122.161,4016.3,1158.49,-251.197,-188.326,159.823,-2.19E-05,-9.01E-06,1.78E-05,-40.6613,10.8109,-50.8991,290.328,11252.2,9602.98
25,2,-3.14431,3770.14,989.187,-244.947,-190.322,165.616,-2.26E-05,-8.86E-06,1.71E-05,-41.8002,10.7933,-49.9182,58.4498,10622.6,9856.63
25,3,-52.9122,3615.4,793.835,-238.044,-193.199,171.036,-2.35E-05,-8.63E-06,1.64E-05,-42.9103,10.7615,-48.9149,-1300.65,10729.7,10611.9
25,4,-158.845,3452.58,589.959,-230.808,-196.821,176.4,-2.40E-05,-8.77E-06,1.59E-05,-43.9913,10.7136,-47.8897,-1604.3,9557.64,11188.6
26,0,-294.758,3238.85,410.827,-222.991,-200.431,181.54,-2.39E-05,-9.60E-06,1.55E-05,-45.041,10.6461,-46.8364,-717.56,9078.54,11252.3
26,1,-416.367,2985.58,213.917,-214.846,-203.586,186.233,-2.35E-05,-1.08E-05,1.52E-05,-46.0576,10.5582,-45.7534,-262.775,9043.99,10809.2
26,2,-526.81,2748.2,49.9089,-206.758,-206.619,190.473,-2.31E-05,-1.19E-05,1.49E-05,-47.041,10.4523,-44.6477,-630.01,8647.28,10318.4
26,3,-636.442,2577.53,25.3197,-198.59,-209.881,194.369,-2.29E-05,-1.26E-05,1.47E-05,-47.991,10.3302,-43.5264,-477.048,8808.18,10224.8
26,4,-740.243,2417.56,-65.3976,-190.272,-212.561,198.01,-2.29E-05,-1.28E-05,1.44E-05,-48.906,10.1921,-42.3874,-230.713,7512.76,9959.92
27,0,-800.333,2247.1,-90.8124,-180.869,-215.269,201.111,-2.28E-05,-1.29E-05,1.41E-05,-49.7825,10.0323,-41.2255,-1258.45,8132.34,8662.36
27,1,-775.625,2046.32,-50.2728,-170.513,-219.057,203.457,-2.31E-05,-1.32E-05,1.36E-05,-50.6141,9.83901,-40.0343,-1518.07,9790.14,9458.82
27,2,-845.346,1942.22,-22.6933,-159.875,-223.151,206.52,-2.37E-05,-1.36E-05,1.28E-05,-51.4035,9.62057,-38.8227,-309.383,7891.05,10406.7
27,3,-1095.69,1836.07,-71.4937,-148.185,-227.069,209.958,-2.43E-05,-1.40E-05,1.19E-05,-52.1455,9.37747,-37.5904,0,7587.59,10237.3
27,4,-1417.15,1726.42,-121.142,-135.882,-230.788,213.328,-2.47E-05,-1.43E-05,1.13E-05,-52.8375,9.10994,-36.338,-257.918,7664.68,10240.4
28,0,-1580.46,1673.73,-213.485,-122.851,-234.248,216.327,-2.49E-05,-1.44E-05,1.11E-05,-53.4762,8.81852,-35.0687,-577.878,7653.97,10365.6
28,1,-1633.59,1675.55,-339.566,-109.202,-237.267,219.1,-2.49E-05,-1.44E-05,1.11E-05,-54.0587,8.50506,-33.7855,-955.672,7954.92,10546.7
28,2,-1695.54,1666.44,-430.686,-95.4603,-239.434,221.895,-2.50E-05,-1.45E-05,1.11E-05,-54.5835,8.1737,-32.4906,-1276.34,8145.47,10206.4
28,3,-1689.42,1615.68,-490.516,-81.9564,-240.406,224.609,-2.51E-05,-1.48E-05,1.10E-05,-55.0501,7.82951,-31.1869,-1232.18,7433.45,8882.87
28,4,-1607.1,1571.53,-604.882,-68.5992,-240.424,227.032,-2.55E-05,-1.52E-05,1.09E-05,-55.4581,7.47611,-29.877,-1170.86,7207.65,9062.21
29,0,-1528.37,1490.14,-677.36,-56.0088,-238.811,229.758,-2.58E-05,-1.57E-05,1.08E-05,-55.8088,7.12123,-28.5629,-192.742,8896.35,8610.72
29,1,-1387.62,1258,-754.605,-42.4372,-235.946,231.107,-2.58E-05,-1.61E-05,1.07E-05,-56.091,6.76201,-27.2442,-2004.71,6189.86,8940.91
29,2,-1262.43,1132.6,-840.901,-28.9494,-233.299,232.186,-2.56E-05,-1.66E-05,1.05E-05,-56.3125,6.39767,-25.9213,-2337.07,6830.14,8319.03
29,3,-1274.12,1079.84,-926.481,-16.1346,-230.214,233.676,-2.54E-05,-1.71E-05,1.02E-05,-56.4756,6.03519,-24.5985,-1936.65,6807.68,8195.83
29,4,-1417.61,1032.79,-1003.13,-3.8635,-227.16,235.323,-2.51E-05,-1.77E-05,9.98E-06,-56.5825,5.67591,-23.2761,-1442.99,6815.71,7877.82
30,0,-1501.5,953.649,-1116.56,8.36506,-224.556,236.679,-2.47E-05,-1.82E-05,9.68E-06,-56.6338,5.31813,-21.9545,-1436.21,7532.27,7893.16
