

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
11,3,-912.189,130.625,9844.07,-1.80216,-1.5067,-0.0790606,2.75556e-05,1.79145e-07,-3.83171e-06,-3.34431,3.75143,97.8775,295.828,387.416,19608.5,-643.195,1548.45,9671.5,-2.0105,-0.548131,-0.809148,-2.26655e-05,2.7931e-06,1.91327e-05,10.4764,-1.38444,-53.3401,-1356.68,7500.87,19657
11,4,-920.002,169.281,9862.65,-1.51919,-1.45945,0.222746,2.76976e-05,4.12623e-07,-3.73495e-06,-3.33935,3.75126,97.8763,372.79,668.381,18890.4,-574.377,1547.39,9707.76,-1.88043,-0.533166,-1.1192,-2.31178e-05,2.88357e-06,1.93589e-05,10.4746,-1.38369,-53.3404,-574.048,7429.45,18934.1
12,0,-877.525,114.39,9789.33,-1.58935,-1.31282,0.422255,2.7803e-05,6.6157e-07,-3.64941e-06,-3.33587,3.74955,97.875,569.37,337.323,18515.9,-517.009,1558.05,9732.07,-1.61307,-0.246686,-1.45446,-2.34912e-05,2.91937e-06,1.96033e-05,10.4727,-1.38398,-53.3427,-478.373,7575.94,18571.3
12,1,-802.019,85.2214,9749.11,-1.64698,-1.07458,0.606936,2.76645e-05,9.85485e-07,-3.62617e-06,-3.33433,3.74792,97.8744,844.775,410.61,18531.2,-542.424,1573,9705.6,-1.38482,-0.172117,-1.48496,-2.36032e-05,2.77423e-06,1.9908e-05,10.4713,-1.3839,-53.3443,-1129.05,7976.2,19651.8
12,2,-734.062,145.571,9781.31,-1.46536,-0.655187,0.631393,2.72583e-05,1.3917e-06,-3.6713e-06,-3.33323,3.74847,97.8754,631.259,946.889,18724.2,-575.392,1616.89,9681.7,-1.38596,-0.384678,-1.20861,-2.34675e-05,2.45758e-06,2.02699e-05,10.4709,-1.38359,-53.3439,-1401.79,8415.22,20174.7
12,3,-710.952,111.067,9789.51,-1.68764,-0.236091,0.375123,2.68678e-05,1.77563e-06,-3.72168e-06,-3.33234,3.74804,97.8792,304.27,424.324,19613.3,-559.917,1640.17,9680.07,-1.43279,-0.442328,-1.18787,-2.33215e-05,2.15905e-06,2.05982e-05,10.4706,-1.38398,-53.346,-1193.27,8710.38,19863.1
12,4,-689.156,105.627,9776.9,-1.79617,-0.1768,-0.224806,2.65847e-05,2.00743e-06,-3.80785e-06,-3.33121,3.74727,97.8836,-330.788,-640.547,19468,-535.858,1613.63,9658.46,-1.79882,-0.463219,-1.4055,-2.31243e-05,1.95e-06,2.07602e-05,10.4691,-1.38499,-53.3541,-203.277,7359.52,20919.1
13,0,-792.011,253.399,9803.1,-1.89162,0.0691931,0.256061,2.67201e-05,1.64635e-06,-4.03353e-06,-3.32961,3.75047,97.8882,0,0,18160.3,-540.026,1621.21,9584.92,-1.90095,-0.134755,-1.81195,-2.28077e-05,1.95e-06,2.0534e-05,10.4669,-1.38609,-53.3674,0,8337.24,20433.3
13,1,-802.027,162.834,9754.58,-1.89162,0.101713,-0.0142698,2.68555e-05,1.28527e-06,-4.25921e-06,-3.32983,3.75214,97.894,-188.426,-188.426,20678.6,-502.025,1588.08,9623.53,-1.61796,-0.0134755,-2.14147,-2.2491e-05,1.95e-06,2.03079e-05,10.4651,-1.38734,-53.379,0,6578.28,17973.2
13,2,-790.63,139.19,9739,-1.94628,-0.013096,0.0262902,2.69909e-05,9.63424e-07,-4.41201e-06,-3.33036,3.75322,97.9074,-324.211,-41.8724,18385,-560.126,1575.63,9606.47,-1.466,0.0267814,-1.54025,-2.2328e-05,1.88417e-06,2.01585e-05,10.4641,-1.38682,-53.3796,-623.132,7880.61,20203.7
