

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
26,3,101.016,-231.381,10180.9,-19.2961,2.44513,-1.32689,2.50383e-05,1.26626e-06,-2.85699e-06,-1.28971,3.57802,68.1637,804.014,507.116,20207.5
26,4,-63.4747,-201.164,10146.8,-17.6345,3.99831,-1.26564,2.41818e-05,6.19519e-07,-3.36204e-06,-1.35362,3.54107,68.1698,310.525,-1040.62,19148.6
27,0,-60.9732,-199.117,10148.1,-16.2782,5.53141,-1.56414,2.36924e-05,2.13293e-07,-3.57594e-06,-1.41619,3.51267,68.1751,1367.47,1640.96,19271.2
27,1,-95.975,-235.857,10122.2,-14.9517,6.75788,-1.42879,2.40985e-05,3.93774e-07,-3.07962e-06,-1.47754,3.49293,68.1746,1577,-133.188,19876.4
27,2,-156.461,-256.997,10043.6,-13.8097,8.14923,-1.28215,2.45046e-05,5.74255e-07,-2.5833e-06,-1.5388,3.48184,68.1613,320.055,-448.762,19205.8
27,3,-107.165,-198.398,9976.22,-12.7033,9.3975,-1.64457,2.48539e-05,6.86595e-07,-2.22326e-06,-1.59693,3.47742,68.1425,551.22,861.072,21898.2
27,4,-97.5969,-103.742,9938,-11.9025,10.3935,-1.7008,2.50852e-05,6.57391e-07,-2.1463e-06,-1.65284,3.47932,68.124,506.097,1338.5,20541.6
28,0,-146.516,-2.88918,9939,-11.6142,11.5057,-1.89908,2.52657e-05,5.67151e-07,-2.19142e-06,-1.70936,3.48777,68.1077,503.542,637.047,18572.8
28,1,-179.789,43.817,9963.89,-11.5656,12.645,-2.42651,2.53996e-05,4.9021e-07,-2.26315e-06,-1.76789,3.50108,68.0917,413.136,-423.439,18501.6
28,2,-192.196,52.926,9950.55,-11.5966,13.6113,-2.80109,2.5405e-05,4.5e-07,-2.40833e-06,-1.82867,3.51799,68.0748,841.618,-737.128,19158.4
28,3,-251.106,121.787,9858.82,-12.056,14.5739,-2.9143,2.52696e-05,4.5e-07,-2.63393e-06,-1.89271,3.53898,68.0576,1953.47,-16.407,19586.5
28,4,-325.681,180.864,9792.2,-12.9821,15.4412,-3.48491,2.5153e-05,4.63625e-07,-2.85102e-06,-1.96172,3.56276,68.0382,-1257.75,-120.52,17761
29,0,-409.572,133.166,9829.87,-13.5504,16.3378,-4.04284,2.51863e-05,5.86252e-07,-3e-06,-2.03641,3.58903,68.0165,510.433,0,19517.1
29,1,-484.715,200.361,9768.71,-14.159,17.1508,-3.66329,2.55473e-05,9.47333e-07,-3e-06,-2.11497,3.61925,67.9964,51.0433,-298.343,18576.5
29,2,-510.695,220.139,9743.49,-14.8934,17.9972,-4.04159,2.59084e-05,1.30841e-06,-3e-06,-2.1979,3.65106,67.9739,1086.42,1081.8,19230.8
